galaxy_id,galaxy_name,galaxy_type,distance_mly,redshift,mass_solar,diameter_ly,added_by,verified_by
1,Galaxy-001,Spiral,317.044,58.0326,275596326285,114330,23.0,113.0
2,Galaxy-002,Irregular,6.726,0.486,30715124530,10575,16.0,101.0
3,Galaxy-003,Spiral,3.46,3.0099,99131106087,82716,41.0,111.0
4,Galaxy-004,Spiral,168.067,26.5814,52361568580,97553,54.0,100.0
5,Galaxy-005,Elliptical,1.212,0.0,2057518626375,185232,89.0,103.0
6,Galaxy-006,Spiral,195.779,40.8713,42970145780,61335,19.0,114.0
7,Galaxy-007,Elliptical,33.282,9.3163,2695146317287,125965,75.0,106.0
8,Galaxy-008,Spiral,82.003,12.2651,30130426435,132417,67.0,101.0
9,Galaxy-009,Spiral,12.661,0.0,65397671587,65154,47.0,105.0
10,Galaxy-010,Elliptical,20.941,6.4978,5762829195233,124087,47.0,110.0
11,Galaxy-011,Spiral,866.322,153.6278,27887889376,100230,40.0,104.0
12,Galaxy-012,Spiral,651.62,114.1298,22547800974,56706,41.0,119.0
13,Galaxy-013,Spiral,2.184,1.8025,50269839409,91215,41.0,118.0
14,Galaxy-014,Spiral,2.729,0.0,56587628478,53895,35.0,111.0
15,Galaxy-015,Elliptical,8.926,2.5124,1977922204512,97983,33.0,109.0
16,Galaxy-016,Elliptical,680.203,126.5414,383532114681,139734,26.0,111.0
17,Galaxy-017,Spiral,27.255,2.6702,126520871742,122259,20.0,103.0
18,Galaxy-018,Elliptical,1.48,0.0,124469431406,120896,43.0,116.0
19,Galaxy-019,Spiral,1.847,1.6364,12131182206,76936,64.0,120.0
20,Galaxy-020,Spiral,6.21,0.6708,319010662491,124971,24.0,111.0
21,Galaxy-021,Spiral,49.919,8.4123,22464658729,131621,22.0,117.0
22,Galaxy-022,Spiral,6.872,0.0,96198235609,104885,67.0,112.0
23,Galaxy-023,Spiral,86.8,15.8155,14438128349,83610,9.0,102.0
24,Galaxy-024,Spiral,1.885,5.1363,33175737590,106401,87.0,116.0
25,Galaxy-025,Elliptical,56.89,9.0921,227708983940,105699,94.0,120.0
26,Galaxy-026,Irregular,178.496,34.7704,16263724289,15456,9.0,117.0
27,Galaxy-027,Elliptical,1.778,1.8966,6309666518889,173268,95.0,108.0
28,Galaxy-028,Elliptical,435.949,76.8619,5052829782446,184085,81.0,111.0
29,Galaxy-029,Spiral,170.607,30.4572,221691676212,68308,61.0,118.0
30,Galaxy-030,Elliptical,374.815,70.1604,1289477344348,131846,85.0,102.0
31,Galaxy-031,Spiral,4.299,1.1941,79396754647,34923,67.0,106.0
32,Galaxy-032,Spiral,7.095,0.0,23647215485,75260,26.0,106.0
33,Galaxy-033,Elliptical,83.708,16.1959,201980564222,78067,55.0,114.0
34,Galaxy-034,Spiral,547.464,97.8382,321984768068,76774,17.0,109.0
35,Galaxy-035,Spiral,180.465,32.4813,41066857346,53314,6.0,103.0
36,Galaxy-036,Spiral,13.256,2.7335,33622058678,67905,64.0,102.0
37,Galaxy-037,Spiral,21.687,4.7368,77383850312,94959,20.0,115.0
38,Galaxy-038,Spiral,4.453,4.9105,288752480207,72044,90.0,116.0
39,Galaxy-039,Spiral,4.136,0.1806,226292897231,66400,27.0,106.0
40,Galaxy-040,Spiral,329.053,62.7337,231311781038,106479,16.0,109.0
41,Galaxy-041,Irregular,55.747,9.8652,11203462126,33777,4.0,109.0
42,Galaxy-042,Spiral,7.445,1.2137,68159237694,127766,8.0,110.0
43,Galaxy-043,Spiral,262.107,45.1591,96473427997,94130,69.0,116.0
44,Galaxy-044,Elliptical,4.005,4.1018,292091505818,175120,63.0,114.0
45,Galaxy-045,Irregular,272.448,49.0467,3034991310,13893,91.0,101.0
46,Galaxy-046,Elliptical,92.054,14.7402,168053811642,76191,79.0,113.0
47,Galaxy-047,Spiral,218.154,38.9145,32863700910,138829,91.0,117.0
48,Galaxy-048,Spiral,425.503,72.8321,125161231291,83470,41.0,115.0
49,Galaxy-049,Elliptical,20.947,4.7384,1209153280981,174394,36.0,100.0
50,Galaxy-050,Spiral,1.15,0.0,72371825252,61602,79.0,114.0
51,Galaxy-051,Spiral,10.939,0.0,581723579285,127119,36.0,103.0
52,Galaxy-052,Spiral,21.768,5.7486,141064658499,97714,49.0,108.0
53,Galaxy-053,Elliptical,91.917,15.7332,107380447726,181983,1.0,115.0
54,Galaxy-054,Spiral,355.591,65.5685,43796795028,62066,10.0,109.0
55,Galaxy-055,Elliptical,6.066,0.0,100579013805,190582,41.0,100.0
56,Galaxy-056,Spiral,140.682,25.4863,220459801478,49822,2.0,109.0
57,Galaxy-057,Spiral,724.778,129.3444,259952596708,41741,55.0,105.0
58,Galaxy-058,Irregular,727.171,131.1558,11645030746,20798,40.0,102.0
59,Galaxy-059,Elliptical,88.157,15.3356,8025132946729,185477,14.0,102.0
60,Galaxy-060,Irregular,905.251,161.8219,4623317930,31097,7.0,106.0
61,Galaxy-061,Spiral,1.564,7.7908,212577833388,70208,56.0,119.0
62,Galaxy-062,Spiral,1.556,0.0,32650968755,100386,42.0,102.0
63,Galaxy-063,Spiral,514.34,94.1432,11221818961,50289,2.0,109.0
64,Galaxy-064,Spiral,50.056,7.3352,311398579609,73653,80.0,114.0
65,Galaxy-065,Elliptical,576.879,106.2758,7222894058605,204121,92.0,108.0
66,Galaxy-066,Irregular,837.571,148.3912,68530437310,22030,71.0,117.0
67,Galaxy-067,Spiral,791.321,142.2914,112226169377,121051,48.0,101.0
68,Galaxy-068,Spiral,3.057,1.2535,49496642922,48487,17.0,120.0
69,Galaxy-069,Spiral,16.427,5.1214,36562175035,86055,26.0,109.0
70,Galaxy-070,Spiral,73.505,15.0876,12600527173,119437,94.0,100.0
71,Galaxy-071,Elliptical,14.536,2.4437,2125935956160,30000,14.0,112.0
72,Galaxy-072,Irregular,19.628,0.9646,42430736247,28040,72.0,111.0
73,Galaxy-073,Spiral,7.401,0.0,463533373913,120611,34.0,100.0
74,Galaxy-074,Irregular,87.898,22.3386,1063229765,24500,25.0,100.0
75,Galaxy-075,Spiral,1.007,0.0,334427445541,100440,29.0,104.0
76,Galaxy-076,Spiral,24.149,4.1858,213053977039,110180,11.0,115.0
77,Galaxy-077,Spiral,27.613,4.0028,852590637754,57530,90.0,112.0
78,Galaxy-078,Spiral,23.722,3.1964,27924237543,72050,74.0,109.0
79,Galaxy-079,Spiral,24.758,5.1718,181517280967,93099,89.0,114.0
80,Galaxy-080,Irregular,108.552,18.3626,4314734294,2000,68.0,98.0
81,Galaxy-081,Spiral,1.463,1.5536,664796310496,123080,52.0,111.0
82,Galaxy-082,Spiral,35.652,8.4536,92216307934,74255,39.0,110.0
83,Galaxy-083,Irregular,81.336,13.7274,59439005146,12317,44.0,116.0
84,Galaxy-084,Spiral,18.57,0.9541,206356117254,92786,66.0,120.0
85,Galaxy-085,Spiral,45.078,11.2098,196035498308,30477,52.0,101.0
86,Galaxy-086,Spiral,483.438,90.5622,634201736497,88238,37.0,100.0
87,Galaxy-087,Spiral,4.052,0.0,854061386925,102207,43.0,108.0
88,Galaxy-088,Spiral,23.854,4.8932,111227995294,52552,85.0,118.0
89,Galaxy-089,Spiral,7.638,0.0,498099743114,123995,59.0,110.0
90,Galaxy-090,Spiral,66.566,9.117,55599168024,75869,31.0,114.0
91,Galaxy-091,Spiral,1.117,0.0,363188340278,108542,32.0,116.0
92,Galaxy-092,Spiral,17.557,3.5318,24685492053,48459,65.0,98.0
93,Galaxy-093,Spiral,608.309,107.8505,254655152179,89333,20.0,102.0
94,Galaxy-094,Spiral,235.741,41.0998,49878039725,122023,88.0,117.0
95,Galaxy-095,Spiral,2.004,4.9326,78479302723,73263,65.0,112.0
96,Galaxy-096,Spiral,4.451,1.4356,127004444849,59014,56.0,107.0
97,Galaxy-097,Spiral,107.446,20.6557,540341815548,84866,62.0,118.0
98,Galaxy-098,Elliptical,4.695,5.771,123945347450,84875,44.0,106.0
99,Galaxy-099,Spiral,4.315,0.0,137836059458,97581,5.0,115.0
100,Galaxy-100,Irregular,69.354,14.1202,5111259164,24532,1.0,115.0
101,Galaxy-101,Elliptical,72.383,17.5676,105164290259,185369,20.0,113.0
102,Galaxy-102,Spiral,4.614,2.4485,28943238940,87594,6.0,98.0
103,Galaxy-103,Elliptical,1.962,0.8114,402620806000,212908,94.0,120.0
104,Galaxy-104,Spiral,8.296,2.4945,29503414872,125017,41.0,100.0
105,Galaxy-105,Spiral,20.981,3.5864,27469058975,96295,39.0,113.0
106,Galaxy-106,Spiral,2.484,0.0,633281235005,79039,31.0,109.0
107,Galaxy-107,Spiral,18.939,8.5085,97781434354,31566,93.0,108.0
108,Galaxy-108,Irregular,479.654,90.7986,50803913064,35319,44.0,118.0
109,Galaxy-109,Elliptical,7.043,2.2691,800868719297,115715,29.0,98.0
110,Galaxy-110,Spiral,466.424,82.9333,115650613934,50308,8.0,103.0
111,Galaxy-111,Spiral,1.612,0.0,733921737758,40862,66.0,105.0
112,Galaxy-112,Spiral,22.693,5.1835,461203396447,31402,66.0,111.0
113,Galaxy-113,Spiral,12.656,0.0,75545757216,128701,85.0,101.0
114,Galaxy-114,Spiral,44.855,9.6206,30238562799,82806,52.0,114.0
115,Galaxy-115,Irregular,619.097,107.0049,44512793157,30894,11.0,99.0
