star_id,star_name,star_type,constellation_id,right_ascension,declination,apparent_magnitude,spectral_type,distance_mly,temperature_k,added_by,verified_by
1,Star-00001,Giant,5,245.746,-64.486,3.705,M,577.651,2887.0,89.0,107.0
2,Star-00002,Main Sequence,362,318.097,-83.532,3.085,G,312.768,5608.0,77.0,110.0
3,Star-00003,Main Sequence,317,226.618,-26.443,1.641,G,26.122,5749.0,34.0,99.0
4,Star-00004,Main Sequence,373,170.017,12.599,0.048,M,0.919,2755.0,75.0,98.0
5,Star-00005,Main Sequence,52,3.069,-32.548,1.333,G,154.562,5394.0,96.0,98.0
6,Star-00006,Main Sequence,236,65.694,-5.101,2.383,G,378.583,5661.0,56.0,115.0
7,Star-00007,Main Sequence,58,15.039,-11.642,0.0,K,1.457,4886.0,47.0,111.0
8,Star-00008,Main Sequence,100,224.056,-21.063,0.0,M,19.715,3056.0,21.0,117.0
9,Star-00009,White Dwarf,95,355.547,-76.713,1.066,A,65.854,7692.0,76.0,103.0
10,Star-00010,M Dwarf,205,82.7,85.964,1.624,A,303.648,8725.0,95.0,98.0
11,Star-00011,Main Sequence,246,341.157,66.128,1.134,K,106.044,4439.0,14.0,98.0
12,Star-00012,Main Sequence,189,138.506,29.348,1.255,F,81.804,6663.0,96.0,102.0
13,Star-00013,Main Sequence,256,261.788,12.772,5.112,M,709.674,3442.0,87.0,98.0
14,Star-00014,Main Sequence,153,359.635,23.939,0.378,K,20.805,4135.0,62.0,97.0
15,Star-00015,Main Sequence,173,204.718,54.381,0.0,K,6.099,4658.0,71.0,105.0
16,Star-00016,Main Sequence,311,168.51,12.379,0.547,K,50.22,4327.0,47.0,105.0
17,Star-00017,Giant,372,239.636,17.187,0.0,K,3.884,4372.0,3.0,102.0
18,Star-00018,Main Sequence,56,335.87,14.382,0.05,F,13.311,6848.0,41.0,118.0
19,Star-00019,Main Sequence,206,113.122,32.131,0.487,G,16.963,5556.0,69.0,98.0
20,Star-00020,Giant,60,337.636,66.3,0.287,G,59.845,5612.0,27.0,115.0
21,Star-00021,Main Sequence,129,325.135,-44.341,0.603,M,4.31,2946.0,76.0,109.0
22,Star-00022,Main Sequence,298,237.267,-8.913,0.598,G,7.889,5464.0,92.0,97.0
23,Star-00023,Main Sequence,185,33.975,-64.811,0.71,K,4.466,4598.0,29.0,98.0
24,Star-00024,Main Sequence,152,82.955,29.212,0.0,K,18.332,4462.0,39.0,101.0
25,Star-00025,M Dwarf,184,163.72,-20.999,0.933,G,87.317,5470.0,8.0,120.0
26,Star-00026,Main Sequence,395,340.126,20.037,0.233,G,4.208,5714.0,29.0,114.0
27,Star-00027,Main Sequence,40,76.636,14.037,0.817,K,142.778,4255.0,4.0,107.0
28,Star-00028,Giant,176,223.57,31.332,1.846,K,155.594,4143.0,92.0,101.0
29,Star-00029,Supergiant,130,349.173,40.605,0.0,O,58.734,34508.0,11.0,109.0
30,Star-00030,Main Sequence,61,199.77,-76.135,0.967,G,148.534,5644.0,38.0,115.0
31,Star-00031,White Dwarf,376,213.629,-9.925,5.151,G,918.22,5517.0,18.0,115.0
32,Star-00032,Supergiant,314,32.726,11.687,4.785,M,783.334,3059.0,38.0,105.0
33,Star-00033,White Dwarf,61,114.565,76.051,1.177,A,160.128,8426.0,32.0,118.0
34,Star-00034,Main Sequence,202,49.801,59.282,0.0,K,23.742,4683.0,68.0,104.0
35,Star-00035,Main Sequence,279,201.499,-5.625,1.066,K,4.309,4612.0,24.0,111.0
36,Star-00036,Main Sequence,281,346.662,21.796,1.213,G,15.857,5649.0,83.0,97.0
37,Star-00037,Main Sequence,205,359.071,-24.647,1.949,F,355.935,7215.0,54.0,99.0
38,Star-00038,Main Sequence,321,228.022,71.531,0.463,K,1.457,4650.0,54.0,117.0
39,Star-00039,Main Sequence,243,283.613,-60.387,0.339,K,51.96,4464.0,40.0,103.0
40,Star-00040,Supergiant,352,87.779,-9.83,2.123,K,19.817,4438.0,86.0,103.0
41,Star-00041,Main Sequence,325,287.917,1.987,0.833,G,143.193,5578.0,29.0,117.0
42,Star-00042,Giant,78,168.655,-74.207,0.022,K,13.108,4110.0,2.0,101.0
43,Star-00043,Main Sequence,379,207.516,-1.093,0.121,G,41.837,5681.0,38.0,101.0
44,Star-00044,Neutron Star,387,199.903,45.387,0.719,G,8.734,5647.0,75.0,99.0
45,Star-00045,Supergiant,309,169.808,62.7,1.583,G,164.552,5539.0,51.0,103.0
46,Star-00046,Main Sequence,237,238.869,-33.075,0.19,K,21.89,4323.0,33.0,112.0
47,Star-00047,Giant,141,329.458,-66.579,0.018,K,1.525,4499.0,80.0,110.0
48,Star-00048,Main Sequence,229,200.236,-29.238,0.674,K,5.072,4232.0,8.0,113.0
49,Star-00049,Main Sequence,302,150.988,61.373,0.346,M,3.212,3331.0,5.0,112.0
50,Star-00050,M Dwarf,72,62.727,-0.35,0.598,G,5.17,5657.0,29.0,100.0
51,Star-00051,Giant,319,118.969,-79.326,0.471,G,15.398,5566.0,78.0,111.0
52,Star-00052,Giant,96,156.159,84.698,0.384,F,32.511,6695.0,35.0,101.0
53,Star-00053,Supergiant,128,259.897,70.823,0.977,G,2.682,5849.0,22.0,103.0
54,Star-00054,Main Sequence,213,278.152,26.399,0.0,B,47.017,19797.0,4.0,100.0
55,Star-00055,Main Sequence,64,194.75,-2.563,3.061,M,524.619,3346.0,18.0,111.0
56,Star-00056,Main Sequence,65,191.511,73.057,0.372,G,0.816,5522.0,7.0,119.0
57,Star-00057,Main Sequence,4,218.973,-59.565,1.711,G,60.507,5795.0,91.0,117.0
58,Star-00058,Giant,344,243.207,41.194,1.129,M,147.706,2944.0,87.0,102.0
59,Star-00059,Main Sequence,355,327.53,-51.413,1.174,F,67.628,6718.0,62.0,118.0
60,Star-00060,Main Sequence,352,135.494,56.557,0.168,M,19.915,3084.0,10.0,100.0
61,Star-00061,Main Sequence,86,92.642,-49.46,0.631,G,218.594,5725.0,74.0,107.0
62,Star-00062,M Dwarf,305,134.73,14.413,0.504,M,10.443,3150.0,11.0,111.0
63,Star-00063,M Dwarf,245,149.069,18.368,1.023,K,195.271,4418.0,4.0,113.0
64,Star-00064,Main Sequence,207,305.34,48.822,0.473,M,64.645,2880.0,47.0,111.0
65,Star-00065,Giant,103,206.192,74.444,5.581,G,836.526,5544.0,76.0,118.0
66,Star-00066,Giant,324,104.114,72.039,0.0,G,6.832,5408.0,71.0,117.0
67,Star-00067,Main Sequence,201,356.519,77.134,0.442,G,2.731,5736.0,68.0,117.0
68,Star-00068,M Dwarf,379,276.855,5.412,1.072,M,43.621,2926.0,13.0,97.0
69,Star-00069,Main Sequence,3,15.609,30.052,0.0,K,20.636,4534.0,41.0,108.0
70,Star-00070,Main Sequence,252,175.005,-21.227,2.877,M,373.438,2885.0,87.0,104.0
71,Star-00071,Main Sequence,49,12.762,-18.226,0.113,K,11.858,4490.0,14.0,99.0
72,Star-00072,White Dwarf,238,44.156,-41.403,0.018,G,15.541,5810.0,1.0,102.0
73,Star-00073,Main Sequence,333,170.029,38.226,1.513,G,74.229,5445.0,20.0,107.0
74,Star-00074,Main Sequence,3,197.858,-39.006,0.0,O,22.077,44467.0,27.0,106.0
75,Star-00075,Main Sequence,331,70.519,-25.707,1.91,M,250.035,3218.0,21.0,109.0
76,Star-00076,Main Sequence,96,196.534,-14.968,0.297,K,33.135,4540.0,69.0,101.0
77,Star-00077,Main Sequence,229,278.206,-22.072,0.382,A,4.454,8625.0,30.0,103.0
78,Star-00078,Main Sequence,252,254.103,-4.844,2.6,M,385.146,2957.0,80.0,119.0
79,Star-00079,White Dwarf,211,65.627,0.351,0.243,M,14.301,3043.0,60.0,118.0
80,Star-00080,Giant,325,128.005,-1.498,1.114,A,150.116,9263.0,93.0,108.0
81,Star-00081,Giant,322,101.562,-87.479,0.021,G,22.723,5685.0,94.0,112.0
82,Star-00082,Giant,230,259.275,66.735,0.377,G,2.077,5539.0,26.0,117.0
83,Star-00083,White Dwarf,266,240.582,1.771,0.244,K,86.068,4385.0,58.0,98.0
84,Star-00084,Giant,19,223.919,69.067,0.0,M,10.343,3139.0,85.0,115.0
85,Star-00085,Giant,360,278.681,31.58,0.951,A,56.02,7809.0,43.0,115.0
86,Star-00086,M Dwarf,309,27.936,8.908,0.968,F,179.178,6824.0,33.0,98.0
87,Star-00087,Supergiant,186,85.719,-73.867,0.222,K,50.905,4965.0,21.0,108.0
88,Star-00088,Giant,297,359.508,-86.947,0.483,F,169.289,6480.0,77.0,110.0
89,Star-00089,Main Sequence,309,184.593,-78.919,1.49,G,161.762,5515.0,44.0,108.0
90,Star-00090,Giant,223,260.898,-81.021,0.079,G,13.542,5679.0,90.0,99.0
91,Star-00091,Main Sequence,206,281.973,-36.77,0.538,K,18.05,4393.0,49.0,106.0
92,Star-00092,Main Sequence,38,28.736,-76.633,1.731,F,118.241,6854.0,34.0,108.0
93,Star-00093,White Dwarf,22,18.96,31.395,4.426,G,548.273,5467.0,61.0,115.0
94,Star-00094,Main Sequence,61,228.278,-61.889,1.355,G,156.729,5774.0,17.0,111.0
95,Star-00095,White Dwarf,114,154.578,-69.835,0.462,K,35.261,4832.0,78.0,108.0
96,Star-00096,Giant,184,195.812,38.182,1.066,M,75.009,3111.0,79.0,116.0
97,Star-00097,Main Sequence,285,163.578,-2.536,1.673,G,259.803,5658.0,61.0,113.0
98,Star-00098,Main Sequence,21,29.774,16.927,0.744,M,33.686,3308.0,24.0,110.0
99,Star-00099,Giant,202,155.553,-1.883,0.0,G,21.584,5730.0,9.0,99.0
100,Star-00100,M Dwarf,87,243.524,-31.084,0.301,K,7.892,4249.0,68.0,115.0
101,Star-00101,Main Sequence,329,214.012,-15.59,0.0,G,52.368,5643.0,36.0,112.0
102,Star-00102,M Dwarf,220,352.598,58.724,0.626,K,11.515,4734.0,5.0,101.0
103,Star-00103,Main Sequence,275,132.609,-43.974,3.637,M,516.15,3212.0,70.0,108.0
104,Star-00104,Main Sequence,157,11.171,-58.001,0.388,F,62.089,6545.0,60.0,98.0
