galaxy_id,galaxy_name,galaxy_type,distance_mly,redshift,mass_solar,diameter_ly,added_by,verified_by
1,Galaxy-001,Irregular,251,25,981,15475,85,119
2,Galaxy-002,Spiral,612,61,25,91959,95,118
3,Galaxy-003,Elliptical,55,6,485,202910,2,113
4,Galaxy-004,Elliptical,158,16,667,163591,39,106
5,Galaxy-005,Elliptical,423,42,549,201196,57,100
6,Galaxy-006,Elliptical,650,65,1992,249410,16,110
7,Galaxy-007,Elliptical,162,16,67,208251,86,115
8,Galaxy-008,Spiral,43,4,47,110719,58,118
9,Galaxy-009,Spiral,498,50,673,83761,5,103
10,Galaxy-010,Spiral,612,61,426,80451,47,99
11,Galaxy-011,Elliptical,511,51,505,166910,92,119
12,Galaxy-012,Spiral,642,64,3421,79677,1,97
13,Galaxy-013,Spiral,173,17,316,108131,64,101
14,Galaxy-014,Elliptical,965,120,65,175788,16,115
15,Galaxy-015,Elliptical,479,48,1022,153653,48,117
16,Galaxy-016,Spiral,277,28,298,62566,23,106
17,Galaxy-017,Irregular,171,17,757,51870,4,112
18,Galaxy-018,Spiral,335,34,316,101826,32,116
19,Galaxy-019,Spiral,935,94,91,163991,12,99
20,Galaxy-020,Elliptical,482,48,102,229565,29,109
21,Galaxy-021,Spiral,134,13,353,53688,90,104
22,Galaxy-022,Spiral,748,75,105,138457,7,100
23,Galaxy-023,Elliptical,513,51,324,195496,36,106
24,Galaxy-024,Spiral,99,10,3807,150640,36,114
25,Galaxy-025,Spiral,718,72,531,53978,55,109
26,Galaxy-026,Elliptical,446,45,190,132899,62,116
27,Galaxy-027,Elliptical,574,57,278,216208,52,115
28,Galaxy-028,Spiral,249,25,1553,164296,85,100
29,Galaxy-029,Irregular,164,16,544,23245,75,114
30,Galaxy-030,Irregular,971,97,1172,24960,17,102
31,Galaxy-031,Spiral,128,13,515,116773,5,101
32,Galaxy-032,Spiral,650,65,1441,107124,86,116
33,Galaxy-033,Spiral,375,38,1087,139795,19,108
34,Galaxy-034,Spiral,83,8,1129,95201,39,99
35,Galaxy-035,Spiral,878,88,41,125558,39,97
36,Galaxy-036,Elliptical,608,61,211,129001,25,120
37,Galaxy-037,Spiral,845,84,286,101368,47,117
38,Galaxy-038,Spiral,457,46,1110,68010,57,114
39,Galaxy-039,Spiral,20,2,126,143102,75,108
40,Galaxy-040,Irregular,20,2,340,13993,24,117
41,Galaxy-041,Spiral,238,24,79,130978,92,101
42,Galaxy-042,Irregular,425,42,41,23624,84,109
43,Galaxy-043,Elliptical,598,60,2373,235012,5,119
44,Galaxy-044,Spiral,248,25,354,145813,49,107
45,Galaxy-045,Spiral,437,44,364,108269,1,117
46,Galaxy-046,Spiral,412,41,551,109070,95,101
47,Galaxy-047,Irregular,907,91,587,16869,1,115
48,Galaxy-048,Spiral,341,34,602,92262,32,98
49,Galaxy-049,Spiral,434,43,164,146534,50,108
50,Galaxy-050,Elliptical,347,35,663,267104,47,119
51,Galaxy-051,Elliptical,897,90,1157,178317,38,114
52,Galaxy-052,Spiral,164,16,98,38823,63,98
53,Galaxy-053,Spiral,902,90,441,148858,51,113
54,Galaxy-054,Irregular,253,25,52,19444,88,101
55,Galaxy-055,Irregular,528,53,363,6955,23,119
56,Galaxy-056,Spiral,569,57,2791,75611,4,104
57,Galaxy-057,Elliptical,700,70,304,223388,61,115
58,Galaxy-058,Spiral,307,31,214,76213,61,118
59,Galaxy-059,Spiral,258,26,116,83390,78,109
60,Galaxy-060,Spiral,180,18,384,72996,86,111
61,Galaxy-061,Spiral,149,15,113,105445,52,111
62,Galaxy-062,Spiral,11,1,387,101696,28,119
63,Galaxy-063,Spiral,200,20,470,126005,18,102
64,Galaxy-064,Spiral,489,49,153,72863,28,106
65,Galaxy-065,Spiral,325,32,517,89506,10,99
66,Galaxy-066,Elliptical,545,55,8848,168799,86,98
67,Galaxy-067,Spiral,893,89,4374,54307,52,98
68,Galaxy-068,Spiral,155,16,33,99355,33,117
69,Galaxy-069,Spiral,118,12,190,88542,62,120
70,Galaxy-070,Elliptical,136,14,428,158452,40,101
71,Galaxy-071,Irregular,205,20,136,14232,51,98
72,Galaxy-072,Spiral,603,60,54,116300,44,101
73,Galaxy-073,Spiral,6,1,46,51173,47,97
74,Galaxy-074,Elliptical,320,32,868,116923,11,100
75,Galaxy-075,Spiral,393,39,1790,162011,10,108
76,Galaxy-076,Spiral,479,48,201,107827,63,101
77,Galaxy-077,Spiral,272,27,118,138652,95,113
78,Galaxy-078,Elliptical,487,49,206,275251,75,105
79,Galaxy-079,Spiral,568,57,321,117379,14,99
80,Galaxy-080,Spiral,500,50,774,131047,26,100
81,Galaxy-081,Spiral,985,98,1086,153171,32,115
82,Galaxy-082,Elliptical,142,14,25,275540,25,113
83,Galaxy-083,Elliptical,633,63,28,211780,51,102
84,Galaxy-084,Irregular,609,61,68,31437,64,116
85,Galaxy-085,Elliptical,554,55,6154,209093,38,97
86,Galaxy-086,Elliptical,400,40,222,219392,68,118
87,Galaxy-087,Elliptical,958,96,385,204351,47,100
88,Galaxy-088,Spiral,80,8,431,175170,8,101
89,Galaxy-089,Spiral,867,87,229,100817,36,100
90,Galaxy-090,Elliptical,247,25,1666,217908,74,104
91,Galaxy-091,Spiral,57,6,25,105415,89,97
92,Galaxy-092,Spiral,826,136,3424,117708,37,104
93,Galaxy-093,Elliptical,60,6,1924,168629,36,118
94,Galaxy-094,Elliptical,103,10,92,145032,40,111
95,Galaxy-095,Spiral,238,24,242,69636,25,107
96,Galaxy-096,Irregular,363,36,62,7846,91,113
97,Galaxy-097,Spiral,490,49,64,131164,22,114
98,Galaxy-098,Elliptical,22,2,292,144673,92,104
99,Galaxy-099,Spiral,30,3,483,76523,83,113
100,Galaxy-100,Spiral,571,57,8812,66786,18,97
